route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
56-63,1801-1801-Weekday-01,433721-1801-1801-Weekday-01,"Meadowood Mall",1,56101,560025
56-63,1801-1801-Weekday-01,433722-1801-1801-Weekday-01,"Meadowood Mall",1,56101,560025
56-63,1801-1801-Weekday-01,433723-1801-1801-Weekday-01,"S Virginia Street at Walmart",0,56120,560021
56-63,1801-1801-Weekday-01,433724-1801-1801-Weekday-01,"S Virginia Street at Walmart",0,56120,560021
56-63,1801-1801-Weekday-01,433725-1801-1801-Weekday-01,"S Virginia Street at Walmart",0,56120,560021
56-63,1801-1801-Weekday-01,433726-1801-1801-Weekday-01,"Meadowood Mall",1,56120,560025
56-63,1801-1801-Weekday-01,433727-1801-1801-Weekday-01,"Meadowood Mall",1,56120,560025
56-63,1801-1801-Weekday-01,433728-1801-1801-Weekday-01,"Meadowood Mall",1,56120,560025
56-63,1801-1801-Weekday-01,433729-1801-1801-Weekday-01,"Meadowood Mall",1,56125,560025
56-63,1801-1801-Weekday-01,433730-1801-1801-Weekday-01,"Meadowood Mall",1,56125,560025
56-63,1801-1801-Weekday-01,433731-1801-1801-Weekday-01,"S Virginia Street at Walmart",0,56125,560021
56-63,1801-1801-Weekday-01,433732-1801-1801-Weekday-01,"S Virginia Street at Walmart",0,56125,560021
54-63,1801-1801-Weekday-01,433733-1801-1801-Weekday-01,"RTC CENTENNIAL PLAZA STATION",1,54101,540044
54-63,1801-1801-Weekday-01,433734-1801-1801-Weekday-01,"RTC CENTENNIAL PLAZA STATION",1,54101,540044
54-63,1801-1801-Weekday-01,433735-1801-1801-Weekday-01,"RTC CENTENNIAL PLAZA STATION",1,54101,540044
54-63,1801-1801-Weekday-01,433736-1801-1801-Weekday-01,"RTC CENTENNIAL PLAZA STATION",1,54101,540044
15-63,1801-1801-Weekday-01,433737-1801-1801-Weekday-01,"TMCC and DRI",0,5103,150081
15-63,1801-1801-Weekday-01,433738-1801-1801-Weekday-01,"TMCC and DRI",0,5103,150081
12-63,1801-1801-Weekday-01,433739-1801-1801-Weekday-01,"Meadowood Mall",0,9101,120135
12-63,1801-1801-Weekday-01,433740-1801-1801-Weekday-01,"Meadowood Mall",0,9102,120135
12-63,1801-1801-Weekday-01,433741-1801-1801-Weekday-01,"Meadowood Mall",0,9104,120135
12-63,1801-1801-Weekday-01,433742-1801-1801-Weekday-01,"Meadowood Mall",0,9105,120135
12-63,1801-1801-Weekday-01,433743-1801-1801-Weekday-01,"Meadowood Mall",0,9104,120135
12-63,1801-1801-Weekday-01,433744-1801-1801-Weekday-01,"Meadowood Mall",0,9101,120135
12-63,1801-1801-Weekday-01,433745-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9101,120171
12-63,1801-1801-Weekday-01,433746-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9102,120171
12-63,1801-1801-Weekday-01,433747-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9104,120171
12-63,1801-1801-Weekday-01,433748-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9105,120171
12-63,1801-1801-Weekday-01,433749-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9104,120171
9-63,1801-1801-Weekday-01,433750-1801-1801-Weekday-01,"Meadowood Mall",0,9101,90053
9-63,1801-1801-Weekday-01,433751-1801-1801-Weekday-01,"Meadowood Mall",0,9102,90053
9-63,1801-1801-Weekday-01,433752-1801-1801-Weekday-01,"Meadowood Mall",0,9104,90053
9-63,1801-1801-Weekday-01,433753-1801-1801-Weekday-01,"Meadowood Mall",0,9105,90053
9-63,1801-1801-Weekday-01,433754-1801-1801-Weekday-01,"Meadowood Mall",0,9104,90053
9-63,1801-1801-Weekday-01,433755-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9101,90054
9-63,1801-1801-Weekday-01,433756-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9102,90054
9-63,1801-1801-Weekday-01,433757-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9104,90054
9-63,1801-1801-Weekday-01,433758-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9105,90054
9-63,1801-1801-Weekday-01,433759-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9104,90054
12-63,1801-1801-Weekday-01,433760-1801-1801-Weekday-01,"Meadowood Mall",0,9104,120135
12-63,1801-1801-Weekday-01,433761-1801-1801-Weekday-01,"Meadowood Mall",0,9105,120135
12-63,1801-1801-Weekday-01,433762-1801-1801-Weekday-01,"Meadowood Mall",0,9103,120135
12-63,1801-1801-Weekday-01,433763-1801-1801-Weekday-01,"Meadowood Mall",0,9101,120135
12-63,1801-1801-Weekday-01,433764-1801-1801-Weekday-01,"Meadowood Mall",0,9102,120135
12-63,1801-1801-Weekday-01,433765-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9104,120171
12-63,1801-1801-Weekday-01,433766-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9105,120171
12-63,1801-1801-Weekday-01,433767-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9103,120171
12-63,1801-1801-Weekday-01,433768-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9101,120171
12-63,1801-1801-Weekday-01,433769-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9102,120171
9-63,1801-1801-Weekday-01,433770-1801-1801-Weekday-01,"Meadowood Mall",0,9102,90053
9-63,1801-1801-Weekday-01,433771-1801-1801-Weekday-01,"Meadowood Mall",0,9104,90053
9-63,1801-1801-Weekday-01,433772-1801-1801-Weekday-01,"Meadowood Mall",0,9105,90053
9-63,1801-1801-Weekday-01,433773-1801-1801-Weekday-01,"Meadowood Mall",0,9103,90053
9-63,1801-1801-Weekday-01,433774-1801-1801-Weekday-01,"Meadowood Mall",0,9101,90053
9-63,1801-1801-Weekday-01,433775-1801-1801-Weekday-01,"Meadowood Mall",0,9102,90053
9-63,1801-1801-Weekday-01,433776-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9102,90054
9-63,1801-1801-Weekday-01,433777-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9104,90054
